,station_id,name,rental_methods,lat,eightd_station_services,has_kiosk,short_name,external_id,capacity,region_id,electric_bike_surcharge_waiver,legacy_id,lon,station_type,eightd_has_key_dispenser,rental_uris.ios,rental_uris.android,timestamp
41,45,1st & N St SE,"['KEY', 'CREDITCARD']",38.874101857715736,[],True,31209,082484cf-1f3f-11e7-bf6b-3863bb334450,39,42,False,45,-77.00579434633255,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
42,46,20th St & Florida Ave NW,"['KEY', 'CREDITCARD']",38.9154,[],True,31110,0824854e-1f3f-11e7-bf6b-3863bb334450,15,42,False,46,-77.0446,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
43,47,7th & T St NW,"['KEY', 'CREDITCARD']",38.9155,[],True,31109,082485e8-1f3f-11e7-bf6b-3863bb334450,15,42,False,47,-77.0222,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
44,48,Eads St & 22nd St S,"['KEY', 'CREDITCARD']",38.85438051517749,[],True,31013,0824866e-1f3f-11e7-bf6b-3863bb334450,15,41,False,48,-77.05341160297394,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
45,49,M St & New Jersey Ave SE,"['KEY', 'CREDITCARD']",38.8763,[],True,31208,082486f0-1f3f-11e7-bf6b-3863bb334450,17,42,False,49,-77.0037,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
46,51,Massachusetts Ave & Dupont Circle NW,"['KEY', 'CREDITCARD']",38.9101,[],True,31200,0824920a-1f3f-11e7-bf6b-3863bb334450,45,42,False,51,-77.0444,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
47,52,1st & M St NE,"['KEY', 'CREDITCARD']",38.905697,[],True,31603,0824927c-1f3f-11e7-bf6b-3863bb334450,15,42,False,52,-77.005483,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
48,53,New Hampshire Ave & Ward Pl NW,"['KEY', 'CREDITCARD']",38.90571079190728,[],True,31212,082492e1-1f3f-11e7-bf6b-3863bb334450,19,42,False,53,-77.0473176240921,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
49,54,17th & K St NW,"['KEY', 'CREDITCARD']",38.90276,[],True,31213,08249345-1f3f-11e7-bf6b-3863bb334450,23,42,False,54,-77.03863,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
50,55,3rd & H St NW,"['KEY', 'CREDITCARD']",38.899408,[],True,31604,082493a5-1f3f-11e7-bf6b-3863bb334450,15,42,False,55,-77.015289,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
51,56,3rd & D St SE,"['KEY', 'CREDITCARD']",38.8851,[],True,31605,08249407-1f3f-11e7-bf6b-3863bb334450,11,42,False,56,-77.0023,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
52,57,Potomac & Pennsylvania Ave SE,"['KEY', 'CREDITCARD']",38.8803,[],True,31606,08249480-1f3f-11e7-bf6b-3863bb334450,15,42,False,57,-76.9862,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
53,58,13th & E St SE,"['KEY', 'CREDITCARD']",38.88291548476762,[],True,31607,082494e7-1f3f-11e7-bf6b-3863bb334450,15,42,False,58,-76.98790669441223,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
54,59,17th & Corcoran St NW,"['KEY', 'CREDITCARD']",38.9121,[],True,31214,08249549-1f3f-11e7-bf6b-3863bb334450,19,42,False,59,-77.0387,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
55,60,Van Ness Metro / UDC,"['KEY', 'CREDITCARD']",38.944551,[],True,31300,082495aa-1f3f-11e7-bf6b-3863bb334450,15,42,False,60,-77.063896,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
56,61,Florida Ave & R St NW,"['KEY', 'CREDITCARD']",38.9126,[],True,31503,0824960b-1f3f-11e7-bf6b-3863bb334450,15,42,False,61,-77.0135,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
57,62,8th & Eye St SE / Barracks Row,"['KEY', 'CREDITCARD']",38.8792,[],True,31608,08249671-1f3f-11e7-bf6b-3863bb334450,11,42,False,62,-76.9953,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
58,63,Ward Circle / American University,"['KEY', 'CREDITCARD']",38.938736,[],True,31301,082496d9-1f3f-11e7-bf6b-3863bb334450,15,42,False,63,-77.087171,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
59,64,Wisconsin Ave & Newark St NW,"['KEY', 'CREDITCARD']",38.934881,[],True,31302,0824973c-1f3f-11e7-bf6b-3863bb334450,19,42,False,64,-77.072755,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
60,65,14th St Heights / 14th & Crittenden St NW,"['KEY', 'CREDITCARD']",38.947774,[],True,31402,0824979f-1f3f-11e7-bf6b-3863bb334450,11,42,False,65,-77.032818,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
61,66,Anacostia Library,"['KEY', 'CREDITCARD']",38.865784,[],True,31804,0824980b-1f3f-11e7-bf6b-3863bb334450,11,42,False,66,-76.9784,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
62,67,Pennsylvania & Minnesota Ave SE,"['KEY', 'CREDITCARD']",38.873057,[],True,31805,082498ac-1f3f-11e7-bf6b-3863bb334450,11,42,False,67,-76.971015,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
63,68,Eastern Market / 7th & North Carolina Ave SE,"['KEY', 'CREDITCARD']",38.886952,[],True,31610,08249a1c-1f3f-11e7-bf6b-3863bb334450,15,42,False,68,-76.996806,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
64,69,14th St & New York Ave NW,"['KEY', 'CREDITCARD']",38.899632,[],True,31216,08249aa2-1f3f-11e7-bf6b-3863bb334450,23,42,False,69,-77.031686,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
65,70,Benning Branch Library,"['KEY', 'CREDITCARD']",38.894,[],True,31705,08249b10-1f3f-11e7-bf6b-3863bb334450,11,42,False,70,-76.947974,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
66,71,USDA / 12th & C St SW,"['KEY', 'CREDITCARD']",38.88627694506511,[],True,31217,08249b7f-1f3f-11e7-bf6b-3863bb334450,39,42,False,71,-77.02824175357819,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
